date,close,high,low,open,volume,ticker
2015-01-02,24.21489143371582,24.682223683318185,23.7763515496625,24.67114878668056,212818400,AAPL
2015-01-05,23.53271484375,24.064277681708337,23.346668779850006,23.984543171525004,257142000,AAPL
2015-01-06,23.53493881225586,23.79407522071628,23.17391806682534,23.596954189686496,263188400,AAPL
2015-01-07,23.86495018005371,23.964617509529127,23.632390824888006,23.743133053101715,160423600,AAPL
2015-01-08,24.78189468383789,24.8394811133024,24.075358755914475,24.192746932459276,237458000,AAPL
2015-01-09,24.808467864990234,25.083108045057088,24.409795273125567,24.954646688812712,214798000,AAPL
2015-01-12,24.197175979614258,24.945792806630894,24.09750865378446,24.939148543547873,198603200,AAPL
2015-01-13,24.412015914916992,24.983446191297645,24.121871831314078,24.680011891872518,268367600,AAPL
2015-01-14,24.31899070739746,24.47181381263504,24.03106027700955,24.150662070103355,195826400,AAPL
2015-01-15,23.65897560119629,24.376584949874893,23.623538957823296,24.36329641983411,240056000,AAPL
2015-01-16,23.475133895874023,23.82729501276512,23.300160996132067,23.705477902251076,314053200,AAPL
2015-01-20,24.079792022705078,24.135163140605048,23.588096225386572,23.88488460623004,199599600,AAPL
2015-01-21,24.263622283935547,24.59806258830847,23.98012076721873,24.130730261496435,194303600,AAPL
2015-01-22,24.894851684570312,24.91035552795961,24.301273310849446,24.420875112620685,215185600,AAPL
2015-01-23,25.0233097076416,25.193851962029953,24.702156295129555,24.872700239309875,185859200,AAPL
2015-01-26,25.049894332885742,25.32896525063651,24.983450002806734,25.191644264805262,222460000,AAPL
2015-01-27,24.172809600830078,24.912568446521064,24.14844617930842,24.899278232187047,382274800,AAPL
2015-01-28,25.539371490478516,26.16174394651588,25.539371490478516,26.05321534893324,585908400,AAPL
2015-01-29,26.334501266479492,26.398731959324124,25.594742329744967,25.763070983758755,337745600,AAPL
2015-01-30,25.949111938476562,26.57812679485473,25.880450628531435,26.22375210888169,334982000,AAPL
2015-02-02,26.274694442749023,26.394296224615175,25.709910222027197,26.14623477167078,250956400,AAPL
2015-02-03,26.279132843017578,26.376584861276278,26.048788790219216,26.245909834382662,207662800,AAPL
2015-02-04,26.480670928955078,26.691082095859546,26.203815464442613,26.24589803578184,280598800,AAPL
