date,close,high,low,open,volume,ticker,macd,rsi,bb_upper,bb_lower,atr
2015-02-09,26.620769500732425,26.64745144462894,26.333926728615506,26.36061036897336,155559200,AAPL,0.6325522484308941,66.46029510967607,27.339454713158688,23.074506125159186,0.6394034440987776
2015-02-10,27.132184982299805,27.16109267469541,26.71859970928321,26.720822072959173,248034000,AAPL,0.6797745931795696,70.22941072596512,27.589495918862184,23.11796581972424,0.632326281946221
2015-02-11,27.76812744140625,27.77702198452417,27.23891484934481,27.29895089481497,294247200,AAPL,0.7597558902968053,74.12356614809583,27.945274728006865,23.09779816322849,0.6332199048232311
2015-02-12,28.11946487426757,28.346271568231803,27.92156588046305,28.030521105976927,297898000,AAPL,0.8417880306562608,75.99198160000512,28.317456237108697,23.105664070813663,0.6292859206805398
2015-02-13,28.25732421875,28.30179524902865,27.93935143252056,28.30179524902865,217088800,AAPL,0.9074625267295744,76.70281677499587,28.593421883187197,23.289533286490546,0.6102257703825077
2015-02-17,28.424091339111328,28.6575684745412,28.221744262210645,28.34848855663976,252609600,AAPL,0.9618788107277538,77.56806024220194,28.79737149553664,23.580479418464822,0.5977685162359396
2015-02-18,28.62199592590332,28.63533689747999,28.33959958681433,28.37962419800564,179566800,AAPL,1.0093383300632617,78.58452592318947,29.041288437240173,23.79078286708112,0.5761948586952055
2015-02-19,28.561952590942383,28.69092094590404,28.53527065299236,28.56862307542989,149449600,AAPL,1.0302295013399174,77.43802661543015,29.219699160048837,24.04220517497314,0.5461559611392391
2015-02-20,28.795434951782227,28.795434951782227,28.4730157023352,28.59975832351753,195793600,AAPL,1.0534820945001293,78.7370986588871,29.449653120642008,24.202309541101155,0.5301747674469383
2015-02-23,29.57368469238281,29.57368469238281,28.83100801140168,28.91105721846636,283896400,AAPL,1.1217770445795487,82.3790564347338,29.79879501722412,24.308205142993163,0.5478944083864843
2015-02-24,29.389123916625977,29.707098350862747,29.16676540619413,29.560340919676545,276912400,AAPL,1.1477779031901747,78.92650345606853,30.033882573370143,24.50704054522116,0.547354303835208
2015-02-25,28.637544631958008,29.26237475595212,28.49523535296951,29.25347851749736,298846800,AAPL,1.09511381354476,66.67220545318624,29.92101180655085,25.06638481515325,0.572106750965298
2015-02-26,29.00000190734864,29.10006257703535,28.15281636818704,28.63755638232021,365150000,AAPL,1.0702868158361198,69.15911033614692,30.00382260229268,25.32963706109843,0.5989024265283701
2015-02-27,28.56418228149414,29.033358981619905,28.51526312656748,28.906612973058365,248059200,AAPL,1.0038722256448231,63.06544358596629,30.062596826268216,25.49383093862436,0.5931305285658027
2015-03-02,28.704265594482425,28.96887282281326,28.528603825590125,28.73984377825784,192386800,AAPL,0.9515726004553252,64.15859087488795,30.071171854715928,25.76077127577724,0.5822118477556122
2015-03-03,28.76430320739746,28.799881390989704,28.481906888632807,28.67536114133918,151265200,AAPL,0.904542303682355,64.64160522150941,30.08693238847338,25.99397161848463,0.563337751655704
2015-03-04,28.581972122192383,28.808778837633067,28.53305635310015,28.7064957846363,126665200,AAPL,0.8428421007962044,61.91277083426798,30.04589845336116,26.265289481514333,0.5427938040040764
2015-03-05,28.10835075378418,28.62866905077443,27.96381732802196,28.590868496848422,226068400,AAPL,0.7471146862312281,55.37359492006745,29.96502037154408,26.508935545814317,0.5515122267718188
2015-03-06,28.15059280395508,28.76652525661798,28.07499170934092,28.550837186219347,291368400,AAPL,0.6669701838223716,55.82177180860377,29.884049084884545,26.73799776722727,0.5615137496650503
2015-03-09,28.27066230773925,28.810995279684807,27.80815617554233,28.452996227639467,354114000,AAPL,0.6061563012247468,57.13938626357806,29.7233144913944,27.081288513061164,0.5930369892705808
